Quantity,Month,SI,Price
250,Jan,0.094780741,18.54
250,Feb,0.094780741,18.54
500,March,0.189561481,18.54
1000,April,0.379122962,18.54
3006,May,1.139643624,18.54
50,June,0.018956148,18.54
911,July,0.345381019,18.54
1000,Aug,0.379122962,18.54
1600,Sept,0.60659674,18.54
12747,Oct,4.832680399,18.54
5942,Nov,2.252748641,18.54
4396,Dec,1.666624542,18.54
6197,Jan,0.677286265,18.54
4000,Feb,0.437170414,18.54
4782,March,0.522637231,18.54
12914,April,1.411404683,18.54
11899,May,1.300472691,18.54
9616,June,1.050957676,18.54
9770,July,1.067788737,18.54
14313,Aug,1.564305036,18.54
14500,Sept,1.584742753,18.54
10053,Oct,1.098718544,18.54
2290,Nov,0.250280062,18.54
9463,Dec,1.034235908,18.54
200,Jan,0.138344478,20.09
250,Feb,0.172930597,20.09
250,March,0.172930597,20.09
300,April,0.207516717,20.09
502,May,0.347244639,20.09
50,June,0.034586119,20.09
2584,July,1.787410653,20.09
570,Aug,0.394281762,20.09
2410,Sept,1.667050957,20.09
3770,Oct,2.607793406,20.09
4550,Nov,3.147336869,20.09
1912,Dec,1.322573207,20.09
2323,Jan,0.449743474,20.09
2152,Feb,0.416637088,20.09
9671,March,1.872350037,20.09
5082,April,0.983898551,20.09
16888,May,3.269594398,20.09
2319,June,0.448969056,20.09
1150,July,0.222645284,20.09
5236,Aug,1.013713659,20.09
1803,Sept,0.349069085,20.09
5828,Oct,1.128327579,20.09
1470,Nov,0.284598754,20.09
8060,Dec,1.560453035,20.09
